Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_020.fits	1	0.2	0	1	0	0	0.4811211291439705	-1.7597928265182055	2.650075955751295	-0.008005489636471555	0.004999093725576747	0.9359	0.07027098375413504
1	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_040.fits	1	0.39	0	2	14.164208210701783	3.4166461281382245	0.5755646636735453	-1.0383595518543545	2.7242335170971903	0.21582631362952984	0.007954432844792667	0.9042	0.551855535331807
2	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_070.fits	1	0.68	0	1	0	0	0.5950101179367603	-2.4515557870186626	4.750093694830936	0.145986800197618	0.01317233735581719	19.945	0.4691063346831297
3	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_080.fits	1	0.78	0	1	0	0	0.6414963519120879	-2.414711374241002	4.524397363780328	0.12704564264513546	0.017021032195885577	17.417	0.3829187527612347
4	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_100.fits	1	0.98	0	1	0	0	0.5721499874699437	-2.6300072303896185	5.043156074612679	0.0939954811483211	0.010986592567175824	19.997	0.30325869920367704
5	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	0	1	0	0	0.5400933846277216	-2.2124600753575323	4.2801667421186025	0.10604999441940402	0.008908124611010381	13.029	0.4240736227535862
6	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_140.fits	1	1.37	0	1	0	0	0.571212025544361	-2.5196912574173593	4.754180255877714	0.16892694504215755	-0.00041733256288382166	19.959	0.4381233205837778
7	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_150.fits	1	1.47	0	1	0	0	0.5859957959489153	-2.4783370610936366	4.631271052670031	0.12500912748583412	0.002640648893266841	15.978	0.2984446811290401
8	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	0	1	0	0	0.5626426578399062	-2.418408764477059	4.288016782652643	0.06973176551143777	-0.0007102262047389062	8.4974	0.22464111739139078
9	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_220.fits	1	2.15	0	2	14.5243860603087	9.57987847730074	0.5521591047827845	-2.4389494377800673	4.538222376889697	0.08948390778820985	-0.0009836563974314249	8.2808	0.3154220902588132
10	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_230.fits	1	2.25	0	1	0	0	0.5926468036751329	-2.340526710892463	4.4187240217912205	0.0324682257416742	-0.00638711672189814	6.3229	0.1877149207729794
11	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_235.fits	1	2.3	0	1	0	0	0.597315366612994	-2.349752388875346	4.437239503645614	0.044660261947969127	-0.003252492427490227	6.0079	0.21764847272183252
12	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_237.fits	1	2.32	0	1	0	0	0.5879958196313121	-2.3481684791406705	4.437462533328485	0.03320680064469638	-0.004384351919628938	6.2712	0.20193076008092845
13	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_240.fits	1	2.35	0	1	0	0	0.5689479796253597	-2.3650227924109184	4.385117324150857	0.0674335391323909	0.004446317600798264	6.62	0.11608207493704811
14	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_242.fits	1	2.37	0	2	17.280533759921276	10.792448874176243	0.5688993735063029	-2.4273631742306923	4.415166509635096	0.02070388476588167	-0.003114175630894859	6.6695	0.2066841296092528
15	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_245.fits	1	2.4	0	2	14.370577597995174	10.227276558978069	0.5995881239810955	-2.3940700722817	4.40818237694909	0.037446252866503944	-0.0018219293181044518	6.272	0.3095177207653024
16	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_247.fits	1	2.42	0	2	11.71638341378812	9.866429113631765	0.6406901847100618	-0.7791371855944558	4.48167587956007	0.05637719820137838	-0.0009863574503246187	6.3273	0.48928068228938304
17	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_250.fits	1	2.44	0	2	6.360029550267667	6.209262210148885	0.6283865290807096	-0.96055674409847	4.589300286413847	0.3107608221825714	0.06568152511012548	5.8608	0.5156388142251834
18	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_252.fits	1	2.46	0	1	0	0	0.6069287141533192	-1.8952145188497107	3.6885239358626216	0.19586361159092436	0.007548008740720945	3.1469	0.36434777302123744
19	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_255.fits	1	2.49	0	2	3.489673474417858	15.44827528940524	0.5797242965242939	-1.192984147777007	3.6164443483372306	0.21249453740633295	0.04494262285502232	2.3073	0.4719618887159112
20	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_257.fits	1	2.51	0	2	2.624403867812442	28.13196056799964	0.6198412562271345	-1.4150939946108079	3.696826104810848	0.267703697415571	0.03345578643894954	2.9773	0.5338145277062037
21	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_262.fits	1	2.56	0	1	0	0	0.597737235601749	-1.6639267881531008	4.084715203937655	0.21401534348150525	-0.021145791448111555	3.1631	0.7237667487632257
22	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_265.fits	1	2.59	0	1	0	0	0.568802637442413	-2.1116692546521096	3.78166444433601	0.15027742411289619	-0.002353941367567008	3.3897	0.44132390607882455
23	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_270.fits	1	2.64	0	1	0	0	0.5575515117459832	-1.9761149179674407	3.931623047306459	0.17012456135376805	-0.0008467366708599529	4.0758	0.22497526976629426
24	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_275.fits	1	2.69	0	1	0	0	0.5972971576873876	-2.178787757972723	4.212426645310993	0.08780636248085043	-0.006809540605780036	4.1428	0.35718262483799246
25	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_280.fits	1	2.74	0	1	0	0	0.6126716757840248	-2.2894291405686666	4.297867001163871	0.12053852161002768	0.00027358637157122375	4.1827	0.40262577673290467
26	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_285.fits	1	2.79	0	1	0	0	0.5934405261134821	-2.25986382899994	4.328674945258714	0.0384858200841857	-0.006271007452491582	4.8478	0.28796157692694935
27	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_287.fits	1	2.84	0	1	0	0	0.6152679881627857	-2.26265039875971	4.256457453069593	0.07635020436727784	-0.006333772701639515	4.637	0.2653320309673989
28	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_288.fits	1	2.93	0	1	0	0	0.5850993715099548	-2.2233757424599534	3.9908500781444745	0.06244035695257983	0.002505180454942562	4.2002	0.35974259016847526
29	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_289.fits	1	3.03	0	1	0	0	0.5986930549953845	-2.329855350380575	4.236822319900487	0.012683140237969678	-0.006921210875201749	4.2038	0.36915035947615715
30	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_290.fits	1	3.13	0	1	0	0	0.6128963665763003	-2.34425814189177	4.373442417929209	0.007856123363178386	-0.0067794446068903	4.5464	0.30284016394929963
31	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_295.fits	1	3.62	0	1	0	0	0.6005657662641054	-2.3281080253546165	4.184339795424096	0.009656632452055591	-0.007705382820395036	4.1754	0.3081156555104673
32	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_305.fits	1	4.6	0	1	0	0	0.5702887119611036	-2.3626054590223946	4.1301288318624	-0.040657106285370254	-0.003823902992836482	4.5091	0.08811031775330126
33	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_020.fits	1	0.2	1	1	0	0	0.5900398532518228	-1.5854891150344712	3.261613235486997	-0.029438047479272474	0.04616768322810165	0.5186	0.08661387478957774
34	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_070.fits	1	0.68	1	1	0	0	0.638719973843019	-1.7448233944486258	3.609125723440786	0.07634179134282282	0.04467476594524361	1.2621	0.8166247379521206
35	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_080.fits	1	0.78	1	1	0	0	0.609884861442296	-1.931464994228759	3.362058203009224	0.16369313688558706	0.0150844451644003	1.5222	0.2516280269555544
36	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_100.fits	1	0.98	1	1	0	0	0.5696363235642142	-2.1280773295482898	3.7994515054464832	0.08203720831128772	0.03679260601494445	2.1087	0.37964278325188444
37	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	1	1	0	0	0.6424867822272283	-1.843079594371576	3.5092075311499107	0.10399489125195419	0.005709384490097135	2.011	0.35630696726632005
38	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_140.fits	1	1.37	1	1	0	0	0.517179841714791	-2.020475301024624	3.4506356621289216	0.10161853621826433	0.013099890793906617	1.9141	0.43448385930482325
39	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_150.fits	1	1.47	1	1	0	0	0.6045636766636157	-2.081190570551042	3.334983565229485	0.10917130500355411	0.019791220762414838	2.1301	0.2482354889214557
40	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_170.fits	1	1.66	1	1	0	0	0.5587836932729505	-1.8542819110669235	3.6782170634283275	0.1424863531865285	0.014854386563863495	2.3118	0.1921935202957124
41	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	1	1	0	0	0.6250920524549204	-2.105804370160927	3.3691859538697377	0.03755623001091645	0.010720736942385803	2.0753	0.1856033359987994
42	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_190.fits	1	1.86	1	1	0	0	0.5720191688929347	-2.126052815673661	3.7401834690370057	-0.025449971573412538	-0.0010484797087835691	2.2238	0.14306218480236935
43	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_210.fits	1	2.05	1	2	0	0	0.6249477395896186	-0.6448877366265177	1.3619249578975499	0.3668807089169736	0.10651357652792882	1.8962	0.2518174691468118
44	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_230.fits	1	2.25	1	2	11.021537698978323	28.227992930750393	0.5784507540095998	-1.9034179392891692	4.0754938547814294	0.12020419798530384	-0.009523877908508038	3.1337	0.7765662979485378
